page,part_number,description,price,includes
34,KHS-10DC-BH,Hvy-duty Behind-the-head Headset W/boom Mic Earcup-mounted PTT with NRR of 24dB,504.20,
34,KHS-10DC-OH,Hvy-duty Over-the-head Headset W/boom Mic Earcup-mounted PTT with NRR of 24dB,538.50,
34,KHS-22A,Behind-the-Head Headset with flexible boom mic and in-line PTT single ear receiver (low profile wire,75.80,
34,KHS-26,Clip Mic w/earphone,40.00,
34,KHS-27A,D-Ring Ear Hanger w/PTT & Mic,35.00,
34,KHS-31C,C-Ring Ear Hanger w/PTT & Mic,42.70,
34,KPG-22UM,USB Programming interface cable,212.30,
37,NX-3420-ISCK3,"800/900MHz, 3.0 Watts, 260 CH, Full Key Model, NXDN Conv & Trunking",869.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
40,NX-1200NVBK2,"VHF (136-174MHz), 5W, 260 CH, LCD & Standard Keypad, NXDN/Analog",506.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
40,NX-1300NUBK,"UHF (450-520MHz), 5W, 64 CH, Basic Model, NXDN/Analog",405.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
40,NX-1300NUBK2,"UHF (450-520MHz), 5W, 260 CH, LCD & Standard Keypad, NXDN/Analog",506.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
40,NX-1300NUBK4,"UHF (400-470MHz), 5W, 64 CH, Basic Model, NXDN/Analog",405.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
40,NX-1300NUBK5,"UHF (400-470MHz), 5W, 260 CH, LCD & Standard Keypad, NXDN/Analog",506.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
40,NX-1200-ISCNBK,"VHF (136-174MHz), 5W, 64 CH, Basic Model, NXDN/Analog",602.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
41,NX-1200-ISCNBK2,"VHF (136-174MHz),S 5TWA,N 2D6A0R CDH, LCD & Standard Keypad, NXDN/Analog",702.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
41,NX-1300-ISCNBK2,"UHF (450-520MHz), 5W, 260 CH, LCD & Standard Keypad, NXDN/Analog",702.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
41,NX-1300-ISCNBK4,"UHF (400-470MHz), 5W, 64 CH, Basic Model, NXDN/Analog",602.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
41,NX-1300-ISCNBK5,"UHF (400-470MHz), 5W, 260 CH, LCD & Standard Keypad, NXDN/Analog",702.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
41,KNB-69L,"2550 mAh, Li-ion battery - requires KSC-35K/SK charger",105.00,
41,KNB-82LCM,"CSA US Intrinsically Safe Battery Li-ion 1900mAh, battery only",154.00,
41,KNB-29N,"1500 mAh, NiMH battery - requires KSC-43K charger",49.30,
41,KSC-35SK,110~220 volt Fast rate single unit charger for KNB-45L/69L,42.20,
41,KSC-43K,110~220 volt Fast rate single unit charger for KNB-29N/45L/69L,49.20,
41,KMB-28AK,Six Unit Charger Adapter for the KSC-35SK chargers,280.00,
41,KVC-22,110~220 volt Fast rate DC vehicular charger adapter for KSC-35SK charger,49.20,
42,KLH-187,Nylon case for NX-1200/1300 srs,19.70,
42,KWD-1301CN,License Key for DMR Conventional Conversion,49.50,
42,KWD-1500EE,License key for DMR ARC4 Enhanced Encryption,39.70,
42,KWD-1501RC,License Key for Remote Control by Subscriber Unit,39.70,
43,E30-3410-05,2 pin Clone Cable,107.00,
43,L-5075,NX-1000 Series Portables Programming (with basic TX/RX check),40.50,
44,NX-1300NUK3,"UHF (450-520MHz), 5W, 260 CH, LCD & Full Keypad, NXDN/Analog",601.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
44,NX-1300NUK6,"UHF (400-470MHz), 5W, 260 CH, LCD & Full Keypad, NXDN/Analog",601.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
45,KNB-84LM,"1900 mAh, Li-ion battery (IEC 60529 - IP67) - requires KSC-35K/SK charger",98.50,
47,NX-1200DVBK2,"VHF (136-174MHz), 5W, 260 CH, LCD & Standard Keypad, DMR/Analog",506.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
